# "All scores of the run."
,value,score,CV,CV_col,model,target,mean,sem
30,1.0,Acc_group,train,CV_30,NNC,classifier_Selection,1.0,0.0
31,1.0,Acc_group,train,CV_31,NNC,classifier_Selection,1.0,0.0
32,1.0,Acc_group,test,CV_0,NNC,classifier_Selection,0.84375,0.06521328221627368
33,0.0,Acc_group,test,CV_1,NNC,classifier_Selection,0.84375,0.06521328221627368
34,1.0,Acc_group,test,CV_2,NNC,classifier_Selection,0.84375,0.06521328221627368
35,1.0,Acc_group,test,CV_3,NNC,classifier_Selection,0.84375,0.06521328221627368
36,0.0,Acc_group,test,CV_4,NNC,classifier_Selection,0.84375,0.06521328221627368
37,1.0,Acc_group,test,CV_5,NNC,classifier_Selection,0.84375,0.06521328221627368
38,1.0,Acc_group,test,CV_6,NNC,classifier_Selection,0.84375,0.06521328221627368
39,1.0,Acc_group,test,CV_7,NNC,classifier_Selection,0.84375,0.06521328221627368
40,1.0,Acc_group,test,CV_8,NNC,classifier_Selection,0.84375,0.06521328221627368
41,1.0,Acc_group,test,CV_9,NNC,classifier_Selection,0.84375,0.06521328221627368
42,1.0,Acc_group,test,CV_10,NNC,classifier_Selection,0.84375,0.06521328221627368
43,1.0,Acc_group,test,CV_11,NNC,classifier_Selection,0.84375,0.06521328221627368
44,0.0,Acc_group,test,CV_12,NNC,classifier_Selection,0.84375,0.06521328221627368
45,0.0,Acc_group,test,CV_13,NNC,classifier_Selection,0.84375,0.06521328221627368
46,1.0,Acc_group,test,CV_14,NNC,classifier_Selection,0.84375,0.06521328221627368
47,1.0,Acc_group,test,CV_15,NNC,classifier_Selection,0.84375,0.06521328221627368
48,1.0,Acc_group,test,CV_16,NNC,classifier_Selection,0.84375,0.06521328221627368
49,1.0,Acc_group,test,CV_17,NNC,classifier_Selection,0.84375,0.06521328221627368
50,0.0,Acc_group,test,CV_18,NNC,classifier_Selection,0.84375,0.06521328221627368
51,1.0,Acc_group,test,CV_19,NNC,classifier_Selection,0.84375,0.06521328221627368
52,1.0,Acc_group,test,CV_20,NNC,classifier_Selection,0.84375,0.06521328221627368
53,1.0,Acc_group,test,CV_21,NNC,classifier_Selection,0.84375,0.06521328221627368
54,1.0,Acc_group,test,CV_22,NNC,classifier_Selection,0.84375,0.06521328221627368
55,1.0,Acc_group,test,CV_23,NNC,classifier_Selection,0.84375,0.06521328221627368
56,1.0,Acc_group,test,CV_24,NNC,classifier_Selection,0.84375,0.06521328221627368
57,1.0,Acc_group,test,CV_25,NNC,classifier_Selection,0.84375,0.06521328221627368
58,1.0,Acc_group,test,CV_26,NNC,classifier_Selection,0.84375,0.06521328221627368
59,1.0,Acc_group,test,CV_27,NNC,classifier_Selection,0.84375,0.06521328221627368
60,1.0,Acc_group,test,CV_28,NNC,classifier_Selection,0.84375,0.06521328221627368
61,1.0,Acc_group,test,CV_29,NNC,classifier_Selection,0.84375,0.06521328221627368
62,1.0,Acc_group,test,CV_30,NNC,classifier_Selection,0.84375,0.06521328221627368
63,1.0,Acc_group,test,CV_31,NNC,classifier_Selection,0.84375,0.06521328221627368
0,1.0,Acc_group,train,CV_0,GPC,classifier_Selection,1.0,0.0
1,1.0,Acc_group,train,CV_1,GPC,classifier_Selection,1.0,0.0
2,1.0,Acc_group,train,CV_2,GPC,classifier_Selection,1.0,0.0
3,1.0,Acc_group,train,CV_3,GPC,classifier_Selection,1.0,0.0
4,1.0,Acc_group,train,CV_4,GPC,classifier_Selection,1.0,0.0
5,1.0,Acc_group,train,CV_5,GPC,classifier_Selection,1.0,0.0
6,1.0,Acc_group,train,CV_6,GPC,classifier_Selection,1.0,0.0
7,1.0,Acc_group,train,CV_7,GPC,classifier_Selection,1.0,0.0
8,1.0,Acc_group,train,CV_8,GPC,classifier_Selection,1.0,0.0
9,1.0,Acc_group,train,CV_9,GPC,classifier_Selection,1.0,0.0
10,1.0,Acc_group,train,CV_10,GPC,classifier_Selection,1.0,0.0
11,1.0,Acc_group,train,CV_11,GPC,classifier_Selection,1.0,0.0
12,1.0,Acc_group,train,CV_12,GPC,classifier_Selection,1.0,0.0
13,1.0,Acc_group,train,CV_13,GPC,classifier_Selection,1.0,0.0
14,1.0,Acc_group,train,CV_14,GPC,classifier_Selection,1.0,0.0
15,1.0,Acc_group,train,CV_15,GPC,classifier_Selection,1.0,0.0
16,1.0,Acc_group,train,CV_16,GPC,classifier_Selection,1.0,0.0
17,1.0,Acc_group,train,CV_17,GPC,classifier_Selection,1.0,0.0
18,1.0,Acc_group,train,CV_18,GPC,classifier_Selection,1.0,0.0
19,1.0,Acc_group,train,CV_19,GPC,classifier_Selection,1.0,0.0
20,1.0,Acc_group,train,CV_20,GPC,classifier_Selection,1.0,0.0
21,1.0,Acc_group,train,CV_21,GPC,classifier_Selection,1.0,0.0
22,1.0,Acc_group,train,CV_22,GPC,classifier_Selection,1.0,0.0
23,1.0,Acc_group,train,CV_23,GPC,classifier_Selection,1.0,0.0
24,1.0,Acc_group,train,CV_24,GPC,classifier_Selection,1.0,0.0
25,1.0,Acc_group,train,CV_25,GPC,classifier_Selection,1.0,0.0
26,1.0,Acc_group,train,CV_26,GPC,classifier_Selection,1.0,0.0
27,1.0,Acc_group,train,CV_27,GPC,classifier_Selection,1.0,0.0
28,1.0,Acc_group,train,CV_28,GPC,classifier_Selection,1.0,0.0
29,1.0,Acc_group,train,CV_29,GPC,classifier_Selection,1.0,0.0
30,1.0,Acc_group,train,CV_30,GPC,classifier_Selection,1.0,0.0
31,1.0,Acc_group,train,CV_31,GPC,classifier_Selection,1.0,0.0
32,0.0,Acc_group,test,CV_0,GPC,classifier_Selection,0.0625,0.04347552147751577
33,0.0,Acc_group,test,CV_1,GPC,classifier_Selection,0.0625,0.04347552147751577
34,0.0,Acc_group,test,CV_2,GPC,classifier_Selection,0.0625,0.04347552147751577
35,0.0,Acc_group,test,CV_3,GPC,classifier_Selection,0.0625,0.04347552147751577
36,0.0,Acc_group,test,CV_4,GPC,classifier_Selection,0.0625,0.04347552147751577
37,0.0,Acc_group,test,CV_5,GPC,classifier_Selection,0.0625,0.04347552147751577
38,0.0,Acc_group,test,CV_6,GPC,classifier_Selection,0.0625,0.04347552147751577
39,0.0,Acc_group,test,CV_7,GPC,classifier_Selection,0.0625,0.04347552147751577
40,0.0,Acc_group,test,CV_8,GPC,classifier_Selection,0.0625,0.04347552147751577
41,0.0,Acc_group,test,CV_9,GPC,classifier_Selection,0.0625,0.04347552147751577
42,0.0,Acc_group,test,CV_10,GPC,classifier_Selection,0.0625,0.04347552147751577
43,0.0,Acc_group,test,CV_11,GPC,classifier_Selection,0.0625,0.04347552147751577
44,0.0,Acc_group,test,CV_12,GPC,classifier_Selection,0.0625,0.04347552147751577
45,0.0,Acc_group,test,CV_13,GPC,classifier_Selection,0.0625,0.04347552147751577
46,0.0,Acc_group,test,CV_14,GPC,classifier_Selection,0.0625,0.04347552147751577
47,0.0,Acc_group,test,CV_15,GPC,classifier_Selection,0.0625,0.04347552147751577
48,0.0,Acc_group,test,CV_16,GPC,classifier_Selection,0.0625,0.04347552147751577
49,0.0,Acc_group,test,CV_17,GPC,classifier_Selection,0.0625,0.04347552147751577
50,0.0,Acc_group,test,CV_18,GPC,classifier_Selection,0.0625,0.04347552147751577
51,1.0,Acc_group,test,CV_19,GPC,classifier_Selection,0.0625,0.04347552147751577
52,0.0,Acc_group,test,CV_20,GPC,classifier_Selection,0.0625,0.04347552147751577
53,1.0,Acc_group,test,CV_21,GPC,classifier_Selection,0.0625,0.04347552147751577
54,0.0,Acc_group,test,CV_22,GPC,classifier_Selection,0.0625,0.04347552147751577
55,0.0,Acc_group,test,CV_23,GPC,classifier_Selection,0.0625,0.04347552147751577
56,0.0,Acc_group,test,CV_24,GPC,classifier_Selection,0.0625,0.04347552147751577
57,0.0,Acc_group,test,CV_25,GPC,classifier_Selection,0.0625,0.04347552147751577
58,0.0,Acc_group,test,CV_26,GPC,classifier_Selection,0.0625,0.04347552147751577
59,0.0,Acc_group,test,CV_27,GPC,classifier_Selection,0.0625,0.04347552147751577
60,0.0,Acc_group,test,CV_28,GPC,classifier_Selection,0.0625,0.04347552147751577
61,0.0,Acc_group,test,CV_29,GPC,classifier_Selection,0.0625,0.04347552147751577
62,0.0,Acc_group,test,CV_30,GPC,classifier_Selection,0.0625,0.04347552147751577
63,0.0,Acc_group,test,CV_31,GPC,classifier_Selection,0.0625,0.04347552147751577
